City,Country,Distance
Aalborg,Denmark,896.07 
Aarhus,Denmark,851.96 
Agadir,Morocco,2445.31 
Akureyri,Iceland,1874.15 
Alesund,Norway,1278.46 
Alghero,Italy,1379.56 
Alicante,Spain,1462.02 
Almeria,Spain,1640.00 
Alta,Norway,2384.03 
Amsterdam,Netherlands,359.92 
Ancona,Italy,1347.25 
Andenes,Norway,2157.86 
Antalya,Turkey,2915.31 
Asturias,Spain,1009.44 
Athens,Greece,2393.24 
Barcelona,Spain,1138.19 
Bari,Italy,1737.05 
Basel,Switzerland,709.39 
Belgrade,Serbia,1692.09 
Bergen,Norway,1045.58 
Bergerac,France,740.64 
Berlin,Germany,934.82 
Beziers Cap d'Agde,France,947.80 
Biarritz,France,897.65 
Bilbao,Spain,939.15 
Billund,Denmark,773.54 
Bodo,Norway,1927.56 
Bodrum,Turkey,2697.32 
Bologna,Italy,1155.07 
Bordeaux,France,741.05 
Bourgas,Bulgaria,2303.37 
Bratislava,Slovakia,1290.45 
Bremen,Germany,634.57 
Brindisi,Italy,1837.86 
Brive,France,716.20 
Brno,Czech Republic,1215.00 
Bucharest,Romania,2093.81 
Budapest,Hungary,1451.71 
Burgas,Bulgaria,2303.37 
Bydgoszcz,Poland,1244.66 
Cagliari,Italy,1542.33 
Carcassonne,France,940.22 
Catania,Italy,1963.15 
Chania,Greece,2617.24 
Cluj,Romania,1797.48 
Cologne,Germany,500.05 
Copenhagen,Denmark,958.09 
Corfu,Greece,2035.03 
Cork,Ireland,573.68 
Corsica,France,1276.10 
Crete,Greece,2697.89 
Cyprus,Cyprus,3209.87 
Dalaman,Turkey,2805.13 
Dortmund,Germany,527.97 
Dresden,Germany,967.08 
Dublin,Ireland,459.90 
Dubrovnik,Croatia,1689.40 
Eindhoven,Netherlands,390.92 
Enfidha,Tunisia,1902.07 
Essaouira,Morocco,2357.23 
Faro,Portugal,1710.13 
Fez,Morocco,1980.80 
Frankfurt,Germany,638.34 
Friedrichshafen,Germany,815.72 
Fuerteventura,Spain,2749.91 
Gazipasa,Turkey,3063.59 
Gdansk,Poland,1306.82 
Geneva,Switzerland,747.98 
Genoa,Italy,1039.01 
Gibraltar,Gibraltar,1757.45 
Goteborg,Sweden,1039.92 
Gran Canaria,Spain,1039.92 
Grenoble,France,826.01 
Hamburg,Germany,723.43 
Harstad,Norway,2129.45 
Haugesund,Norway,943.58 
Helsinki,Finland,1823.29 
Ibiza,Spain,1397.16 
Innsbruck,Austria,958.60 
Izmir,Turkey,2571.18 
Jerez,Spain,1713.90 
Kalamata,Greece,1713.90 
Karlsruhe,Germany,668.57 
Katowice,Poland,1349.08 
Kaunas,Lithuania,1638.45 
Kefalonia,Greece,2187.22 
Kerry,Ireland,662.17 
Kirkenes,Norway,2557.23 
Kiruna,Sweden,2126.20 
Klagenfurt,Austria,1183.06 
Knock,Ireland,752.67 
Kos,Greece,2693.98 
Kosice,Slovakia,1553.07 
Krakow,Poland,1417.89 
Kristiansand,Norway,903.93 
La Rochelle,France,598.23 
Lamezia,Italy,1890.88 
Lanzarote,Spain,2908.23 
Leipzig,Germany,868.53 
Limoges,France,638.55 
Lisbon,Portugal,1583.31 
Ljubljana,Slovenia,1230.92 
Lodz,Poland,1334.05 
Lourdes-Pyrenees,France,912.58 
Lublin,Poland,1572.04 
Lulea,Sweden,2009.71 
Luxembourg,Luxembourg,487.09 
Lyon,France,736.24 
Maastricht,Netherlands,414.48 
Madeira,Portugal,2488.76 
Madrid,Spain,1261.98 
Malaga,Spain,1677.32 
Mallorca Palma,Spain,1347.15 
Malta,Malta,2084.29 
Marrakech,Morocco,2299.91 
Marseille,France,1002.19 
Mazury,Poland,1312.35 
Memmingen,Germany,839.31 
Menorca,Spain,1324.92 
Milan,Italy,960.87 
Molde,Norway,1328.75 
Montpellier,France,927.82 
Munich,Germany,920.31 
Murcia,Spain,1503.87 
Mykonos,Greece,2537.02 
Nantes,France,486.53 
Naples,Italy,1618.19 
Nice,France,1029.75 
Nimes,France,916.54 
Nuremberg,Germany,826.60 
Olsztyn,Poland,1355.30 
Orebro,Sweden,1294.50 
Osijek,Croatia,1532.04 
Oslo,Norway,1155.55 
Ostrava,Czech Republic,1309.75 
Ouarzazate,Morocco,2354.24 
Palanga,Lithuania,1474.44 
Palermo,Italy,1822.30 
Paris,France,344.26 
Perpignan,France,1005.67 
Perugia,Italy,1325.48 
Pescara,Italy,1478.13 
Pisa,Italy,1171.84 
Plovdiv,Bulgaria,2146.93 
Podgorica,Montenegro,1776.78 
Poitiers,France,548.29 
Ponta Delgada,Portugal,2493.44 
Porto,Portugal,1318.99 
Poznan,Poland,1172.52 
Prague,Czech Republic,1172.52 
Preveza,Greece,1035.48 
Pula,Croatia,1270.46 
Rabat,Morocco,2017.09 
Rennes,France,392.12 
Reykjavik,Iceland,1889.04 
Rhodes,Greece,2793.14 
Riga,Latvia,1679.08 
Rijeka,Croatia,1274.60 
Rimini,Italy,1257.77 
Rodez,France,820.41 
Rome,Italy,1436.90 
Rovaniemi,Finland,2198.93 
Rzeszow,Poland,1561.61 
Salzburg,Austria,1034.38 
Santiago de Compostela,Spain,1147.06 
Santorini,Greece,2626.38 
Sardinia,Italy,1460.62 
Seville,Spain,1634.74 
Shannon,Ireland,608.55 
Sicily,Italy,1912.61 
Sofia,Bulgaria,2016.80 
Split,Croatia,1525.61 
Stavanger,Norway,910.15 
Stockholm,Sweden,1435.27 
Szczecin,Poland,1017.92 
Tallinn,Estonia,1785.90 
Tampere,Finland,1825.57 
Tangier,Morocco,1804.84 
Tel Aviv,Israel,3558.81 
Tenerife,Spain,1644.71 
Thessaloniki,Greece,2137.62 
Tirana,Albania,1894.15 
Tivat,Montenegro,1743.52 
Toulon-Hyeres,France,1044.83 
Toulouse,France,886.17 
Trapani,Italy,1798.07 
Trieste,Italy,1211.69 
Tromso,Norway,2250.61 
Turin,Italy,920.22 
Valencia,Spain,1337.79 
Varna,Bulgaria,2288.90 
Vaxjo,Sweden,1139.59 
Venice Marco Polo,Italy,1134.90 
Verona,Italy,1061.75 
Vienna,Austria,1237.77 
Vigo,Spain,1216.74 
Vilnius,Lithuania,1725.78 
Volos,Greece,2236.40 
Warsaw,Poland,1455.29 
Wroclaw,Poland,1193.68 
Zadar,Croatia,1408.24 
Zagreb,Croatia,1339.81 
Zante,Greece,2237.59 
Zaragoza,Spain,1095.93 
Zurich,Switzerland,773.84 
